data_mode,file_id,start,end,ASR/txt,LDC label,model label,url
video,M010040I0,156.5,171.5,"底妆就已经完成了
是不是还是可以的
果然三分天注定七分靠打拼
那如果说你眉毛长得不整齐的话
你就千万不要先化眉毛要先修
哎呦
不好意思
不好意思
你小心点",LDC apology,model no apology,na
video,M01003PH9,903.0,918.0,"你骂到我了
对不起
骂到你了
你多看几期视频
你就会发现我们喜欢的
会尖叫连连
不喜欢的就是会这样骂人
你不要自己带入过深
我没有在骂你
我只是在骂这个作品
如果你非要对号入座",LDC apology,model no apology,na
text,M01000HA8,206.0,261.0,另外，我想等你不忙的时候，因为我们在市中联社有一贷款6月11日到，期，是180万的，我也要提前准备了，麻烦你了！,LDC apology,model no apology,na
audio,M010005DJ,743.17,757.85,"哦
就没说话吗
有
他们在这
我不知道三舅在
那三舅是不是
你看看我短了一句话我也是
那是下次的吗
那三舅不会生气",LDC apology,model no apology,na
video,M01003UQO,77.4,92.4,"本期视频可能会有剧透的成分
如果是还没有看完原文的小伙伴可以选择性观看
江湖川乱布是日本最富生名的退离作家
而且他还是一个评论家",LDC apology,model no apology,na
audio,M010006ZX,712.46,721.74,"嗯,没关系,没关系。
我平白无故,我不会看的,我不在乎我干嘛看的。
哎,行,行,行,没事,没事,没事。",LDC apology,model no apology,na
audio,M010006ZX,682.03,699.43,"来信是因为给我的了,你明白吗?
那你看看第二封信什么时候到吧?
就是啊,要不我知道怎么等第二封信。
我不看这信,我不知道第二封信。你说对不对?明白我的意思吗?
嗯。",LDC apology,model no apology,na
video,M01003M51,204.1,219.1,"对不起
我们不是
我们是世界三流大学
你们打开浏览期
然后在那个网址里面数
世界一流大学.com
就会弹出北大的网页",LDC apology,model no apology,na
text,M01000H61,457.0,466.0,对不起，刚才有点事。,LDC apology,model no apology,na
video,M01003QOD,407.7,422.7,"不止啊
够了
这是我们今天全场出现
我一时要减肥的模特
对不起
展开说说
他的主要客户类型是运动
对
不能太瘦
肌肉
他不能瘦
光骨头运动品还是不会找你的",LDC apology,model no apology,na
video,M01003JUG,142.5,157.5,"其实我就是想说
我错了
哈哈哈哈
嗯以后不说了
靠vlog吃饭
先去买点好设备吧
好的
等我能买得起相机
好好赚钱
不然快乐不了多久
一定
我还能买相机呢",LDC apology,model no apology,na
video,M01003T6J,280.7,295.7,"特别是有些同学有这种
耳朵耳朵
我对苏格兰的语言感到很抱歉
因为我没有跟随它
哇
那所以你们这么注重口音",LDC apology,model no apology,na
audio,M010006YU,190.4,205.4," But it's okay. You happen to have time.
 We can chat for a while.
 Yes, because I'm just online.
 I'm also online. Hurry up and check the password.
 Oh, really?
 I was embarrassed to call them yesterday.",LDC apology,model no apology,na
audio,M010006ZX,712.46,721.74,"嗯,没关系,没关系。
我平白无故,我不会看的,我不在乎我干嘛看的。
哎,行,行,行,没事,没事,没事。",LDC apology,model no apology,na
video,M01003P3V,260.4,275.4,"我刚才吃了蒜
我刚才说是我像我拳头
这么大的砂锅
这像屁股蛋大的砂锅
漂亮
哇 这个才是硬吧
这还有蘸的是吗
对对对",LDC apology,model no apology,na
video,M01003OEW,209.2,224.2,"他要凭自己的行为
好
我猜错
我猜错
我受伤了
我也不想录了
我猜错
我猜错
小七不想录",LDC apology,model no apology,na
video,M01003KWW,359.4,374.4,"我有点失态
对不起
哎呦",LDC apology,model no apology,na
video,M010048A7,95.8,110.8,"小鱼
宝哥
天色见面
好
宝哥叫龙哥
龙哥
对呀
你叫老鱼
不好意思",LDC apology,model no apology,na
audio,M010006ZX,620.2,633.02,"我现在让谁办他的事呢?
我知道。
你知道?你怎么知道?
我跟你讲,很抱歉。
为什么会知道呢?",LDC apology,model no apology,na
video,M01003QFH,169.4,184.4,"为了进步吧我还会挑笔的
我还知道要用什么样的笔
化下面吗
那是你黑眼圈还是你眼影
天哪你看我两个脖子化妆啊
你可能是那个脖子黑的
为了保护那个脖子
我就不公布他的ID了",LDC apology,model no apology,na
video,M01003M51,204.1,219.1,"对不起
我们不是
我们是世界三流大学
你们打开浏览期
然后在那个网址里面数
世界一流大学.com
就会弹出北大的网页",LDC apology,model no apology,na
text,M01000FIS,1548.0,1558.0,"sorry, 没注意到",LDC apology,model no apology,na
audio,M010006ZX,699.86,712.13,"没事,没事。
肯定是对不起,肯定不是。
啊,没关系,没关系。",LDC apology,model no apology,na
video,M01003LYI,15.9,30.9,"刚才不给你钱了吗
你还过来干嘛
我得买这没完没了了你这
我只能再次打开车门
这小子真没差
实在不好意思
这个钱我不敢要
咋不敢要呢",LDC apology,model no apology,na
video,M01003LEB,169.6,184.6,"加上她
你碰碰
我们第一场
她是可爱
她性格好
她会这样
那是什么
被社会逼成了
夏琳
那sorry
对不起 夏琳
因为她被这个社会
已经逼
逼打",LDC apology,model no apology,na
video,M01003T6J,280.7,295.7,"特别是有些同学有这种
耳朵耳朵
我对苏格兰的语言感到很抱歉
因为我没有跟随它
哇
那所以你们这么注重口音",LDC apology,model no apology,na
video,M010040I0,171.5,186.5,"我真的酸痞了
发的朋友都看着呢
放心
不许玩
大家重筹投币给你付养肺
因为我妈没有眉毛
所以我只能这样一根一根的帮她化
我的眉毛是被你刚刮掉了吗",LDC apology,model no apology,na
video,M01003LYI,180.9,195.9,"两位哥请你们原谅我
请你们原谅我
下次再也不敢了
我告诉你哈
就是年纪轻轻的
干点正道的事
就是没有那啥事
咱语语读读找个板上
好的好的",LDC apology,model no apology,na
text,M01000HKE,354.0,393.0,没事。要是麻烦的话我就送人。让你买这么多乱七八糟的，太费神了，呵呵，不好意思啦！,LDC apology,model no apology,na
video,M01003T9X,238.2,253.2,"他们用威亚
不好意思这位总监姑娘
这位总监女士
笑玲没有接我们电话
笑玲把我们电话炸了又炸了
笑玲是这样的
你知道笑玲应该有自己的想法
她没有Dance Breaker
她有她自己的想法
她跟Crash吗",LDC apology,model no apology,na
video,M01003QYA,581.2,596.2,"做班的
在家办公就可以
其实我们ED还好
主要是扑扑很辛苦
扑扑因为
对
要长时间走
对不住了扑扑
所以说我每次来北京
都要带着他
然后他就要坐飞机",LDC apology,model no apology,na
video,M01004T7Z,243.9,258.9,"我感觉
我感觉
我感觉
我感觉
为什么它每一块都不一样呢
因为它是个无敌豪华大肉四拼披萨
视频披萨",LDC apology,model no apology,na
video,M0100488T,227.5,242.5,"他给我的感觉就是他不太相信的感觉
你可以理解不了解吧
了解了我也不相信
对不起
再来一遍
手还没动呢
再来",LDC apology,model no apology,na
video,M01003TAW,423.4,438.4,"我前妻两辈子都看我
一到大阳我就把速度放慢
一到大阳我就把速度放慢
我就觉得真的
我喜欢这个角色
因为我喜欢他的神
一到了后期
我直接快进
牙签上对我去
我看不下去
然后后面
大阳因为掉下悬崖破相",LDC apology,model no apology,na
video,M01003WZZ,250.7,265.7,"坏孩子
这也算是
也算是
说这的
不是我这
不是故意我这样鼓着呀
对谁也不能这样
好好地说说你家姑娘啊
这都是你惯的吧
哎哎哎
你为什么打这剧啊
好玩呗",LDC apology,model no apology,na
video,M0100488T,332.5,347.5,"对不起啊先道个歉啊
对不起就是
无意拿你开刀
开刀你怎么说
无意拿你
无意拿你那个
真故意一下
主要是想看你们平时怎么说我的",LDC apology,model no apology,na
video,M01003M4V,145.6,160.6,"是啊
完了完了
他竟然给拒绝了
来啦来啦
小虎深山来迟
小虎好久不见
诶
Hello
都没找到我
对不起",LDC apology,model no apology,na
video,M0100488T,227.5,242.5,"他给我的感觉就是他不太相信的感觉
你可以理解不了解吧
了解了我也不相信
对不起
再来一遍
手还没动呢
再来",LDC apology,model no apology,na
video,M01003LEB,169.6,184.6,"加上她
你碰碰
我们第一场
她是可爱
她性格好
她会这样
那是什么
被社会逼成了
夏琳
那sorry
对不起 夏琳
因为她被这个社会
已经逼
逼打",LDC apology,model no apology,na
video,M01003T9X,238.2,253.2,"他们用威亚
不好意思这位总监姑娘
这位总监女士
笑玲没有接我们电话
笑玲把我们电话炸了又炸了
笑玲是这样的
你知道笑玲应该有自己的想法
她没有Dance Breaker
她有她自己的想法
她跟Crash吗",LDC apology,model no apology,na
audio,M010007RE,11.1,26.1,"是的。
那你会说中文吗?
是的。
你好。
你好。
然后她今天是,我刚才没有仔细听,然后因为在干别的事情,不好意思。",LDC apology,model no apology,na
video,M010042EO,287.8,302.8,"我这不是月光石
我这是拉长石
拉长石
那一箱也是你的
好大一箱
小周不好意思了
这边也是我的",LDC apology,model no apology,na
video,M01003M4V,145.6,160.6,"是啊
完了完了
他竟然给拒绝了
来啦来啦
小虎深山来迟
小虎好久不见
诶
Hello
都没找到我
对不起",LDC apology,model no apology,na
video,M01003M51,279.1,294.1,"我看了我被打了
你们心眼超过我们原培的
好想
对不起
原培是比心眼要先高
我们心眼就是好像也是什么东西
然后他们",LDC apology,model no apology,na
video,M01004T7Z,243.9,258.9,"我感觉
我感觉
我感觉
我感觉
为什么它每一块都不一样呢
因为它是个无敌豪华大肉四拼披萨
视频披萨",LDC apology,model no apology,na
video,M01003Q4V,913.1,928.1," Oh, I'm sorry.
 You wrote this?
 Yes, I wrote a photo.
 A photo?
 I feel like I'm buried in a pit.
 Yes, it's a brain.",LDC apology,model no apology,na
video,M01003OL0,404.3,419.3,"有一个很体系化的认识之后
那就已经晚了
基本上都大三了
然后我大三了
到时候就会发现
哇我自己真的太菜了
太菜了
我觉得我还需要一个研究生的阶段
来进行一个缓冲",LDC apology,model no apology,na
video,M01003X3K,311.8,326.8,"对不起,就是有面试过就对了
就是
算特加普通挺开心的
但是我们就不太适合那种氛围吧",LDC apology,model no apology,na
audio,M010005DJ,743.17,757.85,"哦
就没说话吗
有
他们在这
我不知道三舅在
那三舅是不是
你看看我短了一句话我也是
那是下次的吗
那三舅不会生气",LDC apology,model no apology,na
audio,M010006ZX,682.03,699.43,"来信是因为给我的了,你明白吗?
那你看看第二封信什么时候到吧?
就是啊,要不我知道怎么等第二封信。
我不看这信,我不知道第二封信。你说对不对?明白我的意思吗?
嗯。",LDC apology,model no apology,na
video,M0100488T,332.5,347.5,"对不起啊先道个歉啊
对不起就是
无意拿你开刀
开刀你怎么说
无意拿你
无意拿你那个
真故意一下
主要是想看你们平时怎么说我的",LDC apology,model no apology,na
audio,M0100085K,277.3,292.3," Then I came here.
 I wanted to study economics.
 But I was a loser.
 Why?
 Sorry.",LDC apology,model no apology,na
video,M01003PH9,918.0,933.0,"你觉得我们太大声了吗
你就把你视频关小声一点
对你就不要看嘛
然后你觉得我太大声了
你还骂我
优历不在神高
我们四川话的一句俗语
有历不在身高
你不要这么大声嘛
因为我想到",LDC apology,model no apology,na
video,M01003M51,279.1,294.1,"我看了我被打了
你们心眼超过我们原培的
好想
对不起
原培是比心眼要先高
我们心眼就是好像也是什么东西
然后他们",LDC apology,model no apology,na
text,M01000HKE,396.0,414.0,不会不会，是我买错了啦，我不好意思才对,LDC apology,model no apology,na
audio,M010008G5,124.9,139.9,,LDC apology,model no apology,na
video,M01003WZZ,280.7,295.7,"我打你了
你把爸爸当国号了
你也给他二十二个钱
我又没打呢
我还记得搞什么架
你看不得喜欢你爸
对不起啊
你回来了
我们到河南了
还没有发现
老一辈人真的
围绕着你
你还没发现",LDC apology,model no apology,na
video,M01003OL0,404.3,419.3,"有一个很体系化的认识之后
那就已经晚了
基本上都大三了
然后我大三了
到时候就会发现
哇我自己真的太菜了
太菜了
我觉得我还需要一个研究生的阶段
来进行一个缓冲",LDC apology,model no apology,na
video,M01003UPY,707.5,722.5,"然后当时GRE成绩还能用
就去报了
报完之后把这个
中欧还
sorry
中欧商学院要有GRE
中欧不是在中国
它要考GMAT
哦
它是要考试的
用英文考
对
而且面试还是用英文的",LDC apology,model no apology,na
audio,M0100085K,277.3,292.3," Then I came here.
 I wanted to study economics.
 But I was a loser.
 Why?
 Sorry.",LDC apology,model no apology,na
video,M01003UPY,707.5,722.5,"然后当时GRE成绩还能用
就去报了
报完之后把这个
中欧还
sorry
中欧商学院要有GRE
中欧不是在中国
它要考GMAT
哦
它是要考试的
用英文考
对
而且面试还是用英文的",LDC apology,model no apology,na
video,M01003WZZ,280.7,295.7,"我打你了
你把爸爸当国号了
你也给他二十二个钱
我又没打呢
我还记得搞什么架
你看不得喜欢你爸
对不起啊
你回来了
我们到河南了
还没有发现
老一辈人真的
围绕着你
你还没发现",LDC apology,model no apology,na
video,M01003TJW,355.6,370.6,"然后他们就很傻逼的眼神看我
这傻逼
你又被喷了
对不起",LDC apology,model no apology,na
audio,M010006YU,190.4,205.4," But it's okay. You happen to have time.
 We can chat for a while.
 Yes, because I'm just online.
 I'm also online. Hurry up and check the password.
 Oh, really?
 I was embarrassed to call them yesterday.",LDC apology,model no apology,na
text,M01000FIS,1548.0,1558.0,"sorry, 没注意到",LDC apology,model no apology,na
audio,M010006ZX,669.08,681.64,"那可不是吗?
我给你道歉了,不是有意的,肯定不是有意的。
因为什么呢?我不会有意看的。
你说呢,我刚有意看,那干什么呀?",LDC apology,model no apology,na
video,M010040I0,156.5,171.5,"底妆就已经完成了
是不是还是可以的
果然三分天注定七分靠打拼
那如果说你眉毛长得不整齐的话
你就千万不要先化眉毛要先修
哎呦
不好意思
不好意思
你小心点",LDC apology,model no apology,na
video,M01003WZZ,280.7,295.7,"我打你了
你把爸爸当国号了
你也给他二十二个钱
我又没打呢
我还记得搞什么架
你看不得喜欢你爸
对不起啊
你回来了
我们到河南了
还没有发现
老一辈人真的
围绕着你
你还没发现",LDC apology,model no apology,na
video,M01003QYA,581.2,596.2,"做班的
在家办公就可以
其实我们ED还好
主要是扑扑很辛苦
扑扑因为
对
要长时间走
对不住了扑扑
所以说我每次来北京
都要带着他
然后他就要坐飞机",LDC apology,model no apology,na
video,M01003TJW,355.6,370.6,"然后他们就很傻逼的眼神看我
这傻逼
你又被喷了
对不起",LDC apology,model no apology,na
video,M01003KWW,359.4,374.4,"我有点失态
对不起
哎呦",LDC apology,model no apology,na
video,M01003ORE,148.1,163.1,"我觉得她长得很像办公楼里待着的人
做金融呢
对对
你这是刻板印象
是不是这样
Gag的这只杜宾
挺可爱的
不适合做模特
下一个
你好 20岁
大一学生
身高165
44公斤",LDC apology,model no apology,na
video,M01003Q4V,913.1,928.1," Oh, I'm sorry.
 You wrote this?
 Yes, I wrote a photo.
 A photo?
 I feel like I'm buried in a pit.
 Yes, it's a brain.",LDC apology,model no apology,na
video,M01004IZ1,240.6,255.6,"哎小梦啊哎哥
啊时间到了怎么车还没开回来啊
哎怎么办我再回去再回去啊挂了啊
怎么回事啊",LDC apology,model no apology,na
video,M01003X3K,311.8,326.8,"对不起,就是有面试过就对了
就是
算特加普通挺开心的
但是我们就不太适合那种氛围吧",LDC apology,model no apology,na
video,M01004NNF,162.4,177.4,"所以只能这样
相救一下
来收拾一下
刚好
好放上来",LDC apology,model no apology,na
video,M010042EO,287.8,302.8,"我这不是月光石
我这是拉长石
拉长石
那一箱也是你的
好大一箱
小周不好意思了
这边也是我的",LDC apology,model no apology,na
audio,M010006ZX,633.02,652.21,"所以我知道有第二封信。
很抱歉,我还没跟小红讲,小红你不要来我给打招呼算了。
其实也没关系。
明白我的意思吗?
明白了,不过你下次是不是注意点啊?",LDC apology,model no apology,na
audio,M010006ZX,633.02,652.21,"所以我知道有第二封信。
很抱歉,我还没跟小红讲,小红你不要来我给打招呼算了。
其实也没关系。
明白我的意思吗?
明白了,不过你下次是不是注意点啊?",LDC apology,model no apology,na
video,M010048A7,95.8,110.8,"小鱼
宝哥
天色见面
好
宝哥叫龙哥
龙哥
对呀
你叫老鱼
不好意思",LDC apology,model no apology,na
video,M010040I0,171.5,186.5,"我真的酸痞了
发的朋友都看着呢
放心
不许玩
大家重筹投币给你付养肺
因为我妈没有眉毛
所以我只能这样一根一根的帮她化
我的眉毛是被你刚刮掉了吗",LDC apology,model no apology,na
video,M01003OEW,209.2,224.2,"他要凭自己的行为
好
我猜错
我猜错
我受伤了
我也不想录了
我猜错
我猜错
小七不想录",LDC apology,model no apology,na
video,M01003UQO,77.4,92.4,"本期视频可能会有剧透的成分
如果是还没有看完原文的小伙伴可以选择性观看
江湖川乱布是日本最富生名的退离作家
而且他还是一个评论家",LDC apology,model no apology,na
text,M01000HKE,396.0,414.0,不会不会，是我买错了啦，我不好意思才对,LDC apology,model no apology,na
text,M01000HKE,196.0,230.0,不过赠品可能要和lotion一起退回了，不好意思呀老师……害你没赠品了,LDC apology,model no apology,na
text,M01000HGI,12.0,20.0,刚刚看到 不好意思,LDC apology,model no apology,na
video,M01003TAW,423.4,438.4,"我前妻两辈子都看我
一到大阳我就把速度放慢
一到大阳我就把速度放慢
我就觉得真的
我喜欢这个角色
因为我喜欢他的神
一到了后期
我直接快进
牙签上对我去
我看不下去
然后后面
大阳因为掉下悬崖破相",LDC apology,model no apology,na
audio,M010006ZX,699.86,712.13,"没事,没事。
肯定是对不起,肯定不是。
啊,没关系,没关系。",LDC apology,model no apology,na
audio,M010006ZX,669.08,681.64,"那可不是吗?
我给你道歉了,不是有意的,肯定不是有意的。
因为什么呢?我不会有意看的。
你说呢,我刚有意看,那干什么呀?",LDC apology,model no apology,na
video,M01003LYI,15.9,30.9,"刚才不给你钱了吗
你还过来干嘛
我得买这没完没了了你这
我只能再次打开车门
这小子真没差
实在不好意思
这个钱我不敢要
咋不敢要呢",LDC apology,model no apology,na
video,M01003TJX,137.3,152.3,"结一结
听到没有
听到
真的拿出来了
那我就不客气了
不客气了
谢谢
开玩笑的还给你
这不是成真的钱
just kidding 还给你
他们拍摄
关子云",LDC apology,model no apology,na
video,M01003PH9,918.0,933.0,"你觉得我们太大声了吗
你就把你视频关小声一点
对你就不要看嘛
然后你觉得我太大声了
你还骂我
优历不在神高
我们四川话的一句俗语
有历不在身高
你不要这么大声嘛
因为我想到",LDC apology,model no apology,na
video,M01003JUG,142.5,157.5,"其实我就是想说
我错了
哈哈哈哈
嗯以后不说了
靠vlog吃饭
先去买点好设备吧
好的
等我能买得起相机
好好赚钱
不然快乐不了多久
一定
我还能买相机呢",LDC apology,model no apology,na
video,M01004NNF,162.4,177.4,"所以只能这样
相救一下
来收拾一下
刚好
好放上来",LDC apology,model no apology,na
text,M01000HKE,196.0,230.0,不过赠品可能要和lotion一起退回了，不好意思呀老师……害你没赠品了,LDC apology,model no apology,na
video,M01003YGP,343.7,358.7,"一天是哪儿
反面就在这一期
但是你不要给孩子们树立不良影响
我们是提倡大家不要早恋
对就很但是呢
就我说一下这个明显的对比",LDC apology,model no apology,na
video,M01003ORE,148.1,163.1,"我觉得她长得很像办公楼里待着的人
做金融呢
对对
你这是刻板印象
是不是这样
Gag的这只杜宾
挺可爱的
不适合做模特
下一个
你好 20岁
大一学生
身高165
44公斤",LDC apology,model no apology,na
video,M01003P3V,260.4,275.4,"我刚才吃了蒜
我刚才说是我像我拳头
这么大的砂锅
这像屁股蛋大的砂锅
漂亮
哇 这个才是硬吧
这还有蘸的是吗
对对对",LDC apology,model no apology,na
video,M01003QOD,407.7,422.7,"不止啊
够了
这是我们今天全场出现
我一时要减肥的模特
对不起
展开说说
他的主要客户类型是运动
对
不能太瘦
肌肉
他不能瘦
光骨头运动品还是不会找你的",LDC apology,model no apology,na
text,M01000HA8,206.0,261.0,另外，我想等你不忙的时候，因为我们在市中联社有一贷款6月11日到，期，是180万的，我也要提前准备了，麻烦你了！,LDC apology,model no apology,na
video,M01003QFH,169.4,184.4,"为了进步吧我还会挑笔的
我还知道要用什么样的笔
化下面吗
那是你黑眼圈还是你眼影
天哪你看我两个脖子化妆啊
你可能是那个脖子黑的
为了保护那个脖子
我就不公布他的ID了",LDC apology,model no apology,na
